water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160,48.5,1080726.28,1080.72628
160,49.5,1073164.342,1073.164342
160,50.5,1065796.759,1065.796759
160,51.5,1058615.707,1058.615707
160,52.5,1051614.098,1051.614098
160,53.5,1044785.144,1044.785144
160,54.5,1038122.348,1038.122348
160,55.5,1031619.493,1031.619493
160,56.5,1025270.637,1025.270637
160,57.5,1019070.101,1019.070101
160,58.5,1013012.459,1013.012459
160,59.5,1007092.499,1007.092499
160,60.5,1001305.342,1001.305342
160,61.5,995646.1548,995.6461548
160,62.5,990110.4863,990.1104863
160,63.5,984693.9411,984.6939411
160,64.5,979393.183,979.393183
160,65.5,974201.4357,974.2014357
160,66.5,969119.0342,969.1190342
160,67.5,964139.6526,964.1396526
160,68.5,959260.5014,959.2605014
160,69.5,954478.2887,954.4782887
160,70.5,949789.7779,949.7897779
160,71.5,945192.1029,945.1921029
160,72.5,940682.0813,940.6820813
160,73.5,936257.141,936.257141
160,74.5,931914.5143,931.9145143
160,75.5,927651.6447,927.6516447
160,76.5,923466.0404,923.4660404
160,77.5,919355.3342,919.3553342
160,78.5,915317.2476,915.3172476
160,79.5,911349.5552,911.3495552
160,80.5,907450.1418,907.4501418
160,81.5,903616.9513,903.6169513
160,82.5,899847.9122,899.8479122
160,83.5,896141.44,896.14144
160,84.5,892495.1544,892.4951544
160,85.5,888907.5737,888.9075737
160,86.5,885377.3705,885.3773705
160,87.5,881900.6321,881.9006321
160,88.5,878478.8618,878.4788618
160,89.5,875108.077,875.108077
160,90.5,871787.4029,871.7874029
160,91.5,868513.4885,868.5134885
160,92.5,865288.7921,865.2887921
160,93.5,862104.8807,862.1048807
160,94.5,858963.6209,858.9636209
160,95.5,855860.6923,855.8606923
160,96.5,852791.0953,852.7910953
160,97.5,849746.6447,849.7466447
160,98.5,846706.6824,846.7066824
160,99.5,843357.689,843.357689
160.1,-99.5,843234.6001,843.2346001
160.1,-98.5,846584.8727,846.5848727
160.1,-97.5,849624.7892,849.6247892
160.1,-96.5,852669.1025,852.6691025
160.1,-95.5,855738.7052,855.7387052
160.1,-94.5,858841.8322,858.8418322
160.1,-93.5,861983.2586,861.9832586
160.1,-92.5,865165.9255,865.1659255
160.1,-91.5,868392.7589,868.3927589
160.1,-90.5,871665.6227,871.6656227
160.1,-89.5,874986.5184,874.9865184
160.1,-88.5,878357.265,878.357265
160.1,-87.5,881779.6215,881.7796215
160.1,-86.5,885255.3232,885.2553232
160.1,-85.5,888786.1049,888.7861049
160.1,-84.5,892373.718,892.373718
160.1,-83.5,896019.9435,896.0199435
160.1,-82.5,899726.6018,899.7266018
160.1,-81.5,903495.5609,903.4955609
160.1,-80.5,907328.7437,907.3287437
160.1,-79.5,911228.1351,911.2281351
160.1,-78.5,915195.786,915.195786
160.1,-77.5,919233.821,919.233821
160.1,-76.5,923344.4427,923.3444427
160.1,-75.5,927529.9374,927.5299374
160.1,-74.5,931792.6808,931.7926808
160.1,-73.5,936135.1428,936.1351428
160.1,-72.5,940559.8941,940.5598941
160.1,-71.5,945069.6114,945.0696114
160.1,-70.5,949667.0837,949.6670837
160.1,-69.5,954355.2202,954.3552202
160.1,-68.5,959137.0526,959.1370526
160.1,-67.5,964015.7338,964.0157338
160.1,-66.5,968994.598,968.994598
160.1,-65.5,974077.0615,974.0770615
160.1,-64.5,979266.749,979.266749
160.1,-63.5,984567.4285,984.5674285
160.1,-62.5,989983.0316,989.9830316
160.1,-61.5,995517.6804,995.5176804
160.1,-60.5,1001175.683,1001.175683
160.1,-59.5,1006961.546,1006.961546
160.1,-58.5,1012879.986,1012.879986
160.1,-57.5,1018935.935,1018.935935
160.1,-56.5,1025134.557,1025.134557
160.1,-55.5,1031481.253,1031.481253
160.1,-54.5,1037981.672,1037.981672
160.1,-53.5,1044641.725,1044.641725
160.1,-52.5,1051467.59,1051.46759
160.1,-51.5,1058465.72,1058.46572
160.1,-50.5,1065642.857,1065.642857
