water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
161.3,-11.5,81832.27064366802,81.83227064366801
161.3,-10.5,82120.92870758568,82.12092870758569
161.3,-9.5,82393.70112902575,82.39370112902576
161.3,-8.5,82650.74121093917,82.65074121093917
161.3,-7.5,82892.22252466377,82.89222252466377
161.3,-6.5,83118.33801699989,83.11833801699989
161.3,-5.5,83329.29904709634,83.32929904709634
161.3,-4.5,83525.33436354336,83.52533436354335
161.3,-3.5,83706.68902954862,83.70668902954863
161.3,-2.5,83873.62330575823,83.87362330575823
161.3,-1.5,84026.41149969224,84.02641149969224
161.3,-0.5,84165.3407917446,84.1653407917446
161.3,0.5,84290.71004505384,84.29071004505384
161.3,1.5,84402.82860913327,84.40282860913327
161.3,2.5,84502.0151245779,84.5020151245779
161.3,3.5,84588.59633716433,84.58859633716433
161.3,4.5,84662.9059274961,84.6629059274961
161.3,5.5,84725.2833646651,84.7252833646651
161.3,6.5,84776.07278728252,84.77607278728252
161.3,7.5,84815.62191944198,84.81562191944198
161.3,8.5,84844.2810261081,84.8442810261081
161.3,9.5,84862.40190992548,84.86240190992548
161.4,-24.5,76567.86326506613,76.56786326506614
161.4,-23.5,77066.36712865924,77.06636712865924
161.4,-22.5,77549.09673318411,77.54909673318411
161.4,-21.5,78015.9048236603,78.01590482366029
161.4,-20.5,78466.66678607579,78.46666678607579
161.4,-19.5,78901.28115318659,78.90128115318659
161.4,-18.5,79319.6699923954,79.3196699923954
161.4,-17.5,79721.77917570254,79.72177917570254
161.4,-16.5,80107.57853094122,80.10757853094121
161.4,-15.5,80477.06187361457,80.47706187361457
161.4,-14.5,80830.24691890493,80.83024691890493
161.4,-13.5,81167.17507737363,81.16717507737363
161.4,-12.5,81487.91113522153,81.48791113522152
161.4,-11.5,81792.54282488492,81.79254282488492
161.4,-10.5,82081.1802894052,82.0811802894052
161.4,-9.5,82353.95544736342,82.35395544736342
161.4,-8.5,82611.02126486409,82.61102126486409
161.4,-7.5,82852.55094136247,82.85255094136247
161.4,-6.5,83078.73701839264,83.07873701839264
161.4,-5.5,83289.7904182289,83.2897904182289
161.4,-4.5,83485.93942286096,83.48593942286097
161.4,-3.5,83667.42860114336,83.66742860114336
161.4,-2.5,83834.51769366456,83.83451769366455
161.4,-1.5,83987.48046428888,83.98748046428888
161.4,-0.5,84126.60352830419,84.12660352830419
161.4,0.5,84252.18516446666,84.25218516446667
161.4,1.5,84364.53412081602,84.36453412081602
161.4,2.5,84463.96842156365,84.46396842156365
161.4,3.5,84550.8141833555,84.5508141833555
161.4,4.5,84625.40444705127,84.62540444705128
161.4,5.5,84688.07803347499,84.68807803347498
161.4,6.5,84739.17842648501,84.73917842648501
161.4,7.5,84779.05269091205,84.77905269091205
161.4,8.5,84808.0504298495,84.8080504298495
161.4,9.5,84826.5227832902,84.8265227832902
161.5,-24.5,76530.60904817823,76.53060904817823
161.5,-23.5,77028.77623363867,77.02877623363867
161.5,-22.5,77511.19323837386,77.51119323837386
161.5,-21.5,77977.7129980432,77.97771299804319
161.5,-20.5,78428.21104913621,78.42821104913621
161.5,-19.5,78862.58603393039,78.86258603393038
161.5,-18.5,79280.76008773858,79.28076008773859
161.5,-17.5,79682.67910843922,79.68267910843922
161.5,-16.5,80068.31290750418,80.06831290750418
161.5,-15.5,80437.65524184082,80.43765524184083
161.5,-14.5,80790.72372602082,80.79072372602081
161.5,-13.5,81127.55962840718,81.12755962840718
161.5,-12.5,81448.22755204813,81.44822755204814
161.5,-11.5,81752.81500610181,81.75281500610181
161.5,-10.5,82041.43187122472,82.04143187122472
161.5,-9.5,82314.20976570109,82.3142097657011
161.5,-8.5,82571.30131878899,82.57130131878898
161.5,-7.5,82812.87935806118,82.81287935806118
161.5,-6.5,83039.1360197854,83.03913601978539
161.5,-5.5,83250.28178936146,83.25028178936145
161.5,-4.5,83446.54448217855,83.44654448217855
161.5,-3.5,83628.16817273808,83.62816817273807
161.5,-2.5,83795.41208157089,83.79541208157089
161.5,-1.5,83948.54942888551,83.94854942888551
161.5,-0.5,84087.86626486378,84.08786626486378
161.5,0.5,84213.66028387948,84.21366028387948
161.5,1.5,84326.23963249878,84.32623963249878
161.5,2.5,84425.92171854942,84.42592171854942
161.5,3.5,84513.03202954667,84.51303202954666
161.5,4.5,84587.90296660645,84.58790296660645
