month,month_name,mean_WD10,compass_direction
1,January,130.74215750753797,SE
2,February,132.51616038938494,SE
3,March,135.37119211294873,SE
4,April,136.94218977285527,SE
5,May,125.73100155712439,SE
6,June,322.0986958033689,NW
7,July,314.31009046654066,NW
8,August,316.6935118874617,NW
9,September,348.1902719687896,NNW
10,October,133.53283628513202,SE
11,November,135.8753684304731,SE
12,December,134.84286028453448,SE
