index,pot_time,pot_maxima,Peak_period
6,1996-01-02 12:00:00,1.504638671875,5.776710510253906
18,1996-01-05 12:00:00,1.279541015625,5.342140197753906
38,1996-01-10 12:00:00,1.287841796875,5.550148010253906
62,1996-01-16 12:00:00,1.396728515625,5.681007385253906
90,1996-01-23 12:00:00,1.232421875,5.256202697753906
110,1996-01-28 12:00:00,1.56591796875,6.206398010253906
128,1996-02-02 00:00:00,1.36767578125,5.638526916503906
153,1996-02-08 06:00:00,1.368896484375,5.658058166503906
166,1996-02-11 12:00:00,1.009033203125,4.982276916503906
178,1996-02-14 12:00:00,1.145751953125,5.124366760253906
194,1996-02-18 12:00:00,1.42724609375,5.693702697753906
218,1996-02-24 12:00:00,1.2861328125,5.642921447753906
233,1996-02-28 06:00:00,0.9178466796875,4.782081604003906
250,1996-03-03 12:00:00,1.215576171875,5.551124572753906
266,1996-03-07 12:00:00,1.321533203125,5.688819885253906
286,1996-03-12 12:00:00,1.1552734375,5.135597229003906
326,1996-03-22 12:00:00,1.444580078125,5.799659729003906
346,1996-03-27 12:00:00,1.671875,5.289405822753906
366,1996-04-01 12:00:00,0.978759765625,4.918800354003906
390,1996-04-07 12:00:00,1.325439453125,5.612159729003906
402,1996-04-10 12:00:00,1.041259765625,5.142921447753906
414,1996-04-13 12:00:00,1.56298828125,5.881690979003906
506,1996-05-06 12:00:00,0.996826171875,5.131690979003906
603,1996-05-30 18:00:00,1.044189453125,4.726417541503906
643,1996-06-09 18:00:00,0.946533203125,4.315284729003906
659,1996-06-13 18:00:00,1.66064453125,5.649269104003906
683,1996-06-19 18:00:00,1.314697265625,4.895851135253906
699,1996-06-23 18:00:00,1.067138671875,4.359718322753906
759,1996-07-08 18:00:00,1.031005859375,4.612159729003906
783,1996-07-14 18:00:00,1.68408203125,5.632667541503906
799,1996-07-18 18:00:00,0.9609375,4.353858947753906
811,1996-07-21 18:00:00,1.57080078125,5.177101135253906
823,1996-07-24 18:00:00,0.92822265625,4.060890197753906
835,1996-07-27 18:00:00,1.70166015625,5.626808166503906
847,1996-07-30 18:00:00,1.138671875,4.668312072753906
867,1996-08-04 18:00:00,1.2958984375,4.965675354003906
879,1996-08-07 18:00:00,1.447021484375,5.184425354003906
915,1996-08-16 18:00:00,1.494140625,5.050880432128906
1031,1996-09-14 18:00:00,0.95654296875,4.425636291503906
1126,1996-10-08 12:00:00,1.02294921875,4.771827697753906
1146,1996-10-13 12:00:00,0.9267578125,4.865089416503906
1166,1996-10-18 12:00:00,1.14453125,5.278175354003906
1194,1996-10-25 12:00:00,0.96875,4.873878479003906
1226,1996-11-02 12:00:00,0.9510498046875,4.687843322753906
1258,1996-11-10 12:00:00,0.91650390625,4.772315979003906
1277,1996-11-15 06:00:00,2.3583984375,6.749855041503906
1301,1996-11-21 06:00:00,1.22998046875,5.140480041503906
1322,1996-11-26 12:00:00,1.0341796875,5.204689025878906
1353,1996-12-04 06:00:00,1.384765625,5.270362854003906
1370,1996-12-08 12:00:00,1.2744140625,5.627296447753906
1390,1996-12-13 12:00:00,0.95703125,4.810890197753906
1417,1996-12-20 06:00:00,0.921875,4.378761291503906
1449,1996-12-28 06:00:00,1.658935546875,5.856788635253906
1461,1996-12-31 06:00:00,1.215087890625,5.332618713378906
1482,1997-01-05 12:00:00,1.8740234375,6.449562072753906
1498,1997-01-09 12:00:00,1.367919921875,5.783546447753906
1510,1997-01-12 12:00:00,1.15087890625,5.338722229003906
1522,1997-01-15 12:00:00,1.3670654296875,5.635108947753906
1541,1997-01-20 06:00:00,1.375244140625,5.224464416503906
1570,1997-01-27 12:00:00,1.32568359375,5.598487854003906
1618,1997-02-08 12:00:00,0.968994140625,4.768409729003906
1654,1997-02-17 12:00:00,0.982177734375,4.769874572753906
1666,1997-02-20 12:00:00,0.998291015625,5.067237854003906
1679,1997-02-23 18:00:00,0.952392578125,4.298194885253906
1710,1997-03-03 12:00:00,1.653564453125,6.121925354003906
1738,1997-03-10 12:00:00,1.28466796875,5.258644104003906
1773,1997-03-19 06:00:00,1.11279296875,4.802101135253906
1786,1997-03-22 12:00:00,1.41650390625,5.858741760253906
1813,1997-03-29 06:00:00,1.955810546875,5.883644104003906
1842,1997-04-05 12:00:00,1.292236328125,5.409523010253906
1863,1997-04-10 18:00:00,0.990478515625,4.696632385253906
1878,1997-04-14 12:00:00,1.171875,5.265968322753906
1890,1997-04-17 12:00:00,0.9736328125,4.741065979003906
1902,1997-04-20 12:00:00,0.944091796875,4.997901916503906
1921,1997-04-25 06:00:00,1.115234375,5.054054260253906
1969,1997-05-07 06:00:00,1.004638671875,4.684425354003906
2057,1997-05-29 06:00:00,1.109130859375,4.764503479003906
2131,1997-06-16 18:00:00,0.935302734375,4.643898010253906
2175,1997-06-27 18:00:00,1.5126953125,5.237648010253906
2195,1997-07-02 18:00:00,1.208984375,4.731788635253906
2207,1997-07-05 18:00:00,1.60791015625,5.542335510253906
2235,1997-07-12 18:00:00,1.17236328125,4.775733947753906
2251,1997-07-16 18:00:00,1.345947265625,5.179054260253906
2263,1997-07-19 18:00:00,1.686279296875,5.549171447753906
2283,1997-07-24 18:00:00,1.701416015625,5.656593322753906
2295,1997-07-27 18:00:00,1.6884765625,5.651710510253906
2319,1997-08-02 18:00:00,1.547119140625,5.497413635253906
2335,1997-08-06 18:00:00,1.7490234375,5.606300354003906
2355,1997-08-11 18:00:00,0.970703125,4.326026916503906
2391,1997-08-20 18:00:00,1.640625,5.474464416503906
2403,1997-08-23 18:00:00,1.10986328125,4.702980041503906
2419,1997-08-27 18:00:00,1.16455078125,4.856300354003906
2431,1997-08-30 18:00:00,0.93798828125,4.346534729003906
2573,1997-10-05 06:00:00,0.962646484375,4.659523010253906
2590,1997-10-09 12:00:00,1.058837890625,5.120460510253906
2613,1997-10-15 06:00:00,1.399169921875,5.259620666503906
2625,1997-10-18 06:00:00,1.0634765625,4.925148010253906
2666,1997-10-28 12:00:00,1.3089599609375,5.683937072753906
2685,1997-11-02 06:00:00,1.079345703125,4.929054260253906
2738,1997-11-15 12:00:00,0.989013671875,5.304542541503906
2781,1997-11-26 06:00:00,1.190673828125,5.567726135253906
2793,1997-11-29 06:00:00,1.443359375,5.215187072753906
2821,1997-12-06 06:00:00,1.2471923828125,5.112159729003906
2837,1997-12-10 06:00:00,1.07177734375,4.997413635253906
2850,1997-12-13 12:00:00,0.93359375,4.793312072753906
2874,1997-12-19 12:00:00,1.1494140625,5.176124572753906
2890,1997-12-23 12:00:00,1.198974609375,5.221534729003906
2913,1997-12-29 06:00:00,1.411376953125,5.444679260253906
2925,1998-01-01 06:00:00,1.628173828125,5.875831604003906
2938,1998-01-04 12:00:00,1.5693359375,6.118019104003906
2957,1998-01-09 06:00:00,1.27392578125,5.354835510253906
2974,1998-01-13 12:00:00,1.837646484375,5.798194885253906
2993,1998-01-18 06:00:00,1.123291015625,4.817237854003906
3020,1998-01-25 00:00:00,1.457763671875,5.746437072753906
3037,1998-01-29 06:00:00,1.354248046875,5.390480041503906
3065,1998-02-05 06:00:00,1.48828125,5.623878479003906
3078,1998-02-08 12:00:00,1.339599609375,5.542335510253906
3098,1998-02-13 12:00:00,2.11328125,6.103370666503906
3134,1998-02-22 12:00:00,0.99169921875,4.327491760253906
3161,1998-03-01 06:00:00,1.239990234375,5.153663635253906
3182,1998-03-06 12:00:00,1.87548828125,6.263526916503906
3206,1998-03-12 12:00:00,1.320556640625,5.722511291503906
3226,1998-03-17 12:00:00,1.599365234375,6.140968322753906
3261,1998-03-26 06:00:00,1.2198486328125,5.189796447753906
3273,1998-03-29 06:00:00,0.900390625,4.516944885253906
3326,1998-04-11 12:00:00,1.537841796875,5.835792541503906
3353,1998-04-18 06:00:00,1.291748046875,5.225440979003906
3389,1998-04-27 06:00:00,1.423583984375,5.222023010253906
3455,1998-05-13 18:00:00,1.2545166015625,5.162452697753906
3550,1998-06-06 12:00:00,1.2294921875,4.724952697753906
3571,1998-06-11 18:00:00,0.993408203125,4.640968322753906
3599,1998-06-18 18:00:00,0.976318359375,4.223487854003906
3627,1998-06-25 18:00:00,1.53564453125,5.388038635253906
3639,1998-06-28 18:00:00,1.092529296875,4.702003479003906
3651,1998-07-01 18:00:00,1.776123046875,5.658546447753906
3663,1998-07-04 18:00:00,1.230712890625,4.779640197753906
3679,1998-07-08 18:00:00,1.162841796875,4.719581604003906
3699,1998-07-13 18:00:00,1.126708984375,4.745460510253906
3715,1998-07-17 18:00:00,1.10986328125,4.720069885253906
3739,1998-07-23 18:00:00,1.368896484375,5.116554260253906
3799,1998-08-07 18:00:00,1.21240234375,4.767921447753906
4086,1998-10-18 12:00:00,0.989501953125,5.193702697753906
4114,1998-10-25 12:00:00,1.151123046875,5.013526916503906
4145,1998-11-02 06:00:00,0.94482421875,4.403663635253906
4178,1998-11-10 12:00:00,1.06689453125,5.102394104003906
4262,1998-12-01 12:00:00,1.1142578125,5.201515197753906
4282,1998-12-06 12:00:00,0.939208984375,4.910987854003906
4402,1999-01-05 12:00:00,1.2996826171875,5.720069885253906
4414,1999-01-08 12:00:00,1.693115234375,6.101417541503906
4441,1999-01-15 06:00:00,1.660888671875,5.816749572753906
4477,1999-01-24 06:00:00,1.326171875,5.242530822753906
4490,1999-01-27 12:00:00,1.130615234375,5.106300354003906
4525,1999-02-05 06:00:00,1.410400390625,5.307472229003906
4554,1999-02-12 12:00:00,1.48486328125,5.766944885253906
4578,1999-02-18 12:00:00,1.8046875,6.261085510253906
4601,1999-02-24 06:00:00,1.464599609375,5.529640197753906
4618,1999-02-28 12:00:00,1.287109375,5.677589416503906
4649,1999-03-08 06:00:00,1.341064453125,5.586769104003906
4669,1999-03-13 06:00:00,1.200439453125,5.112159729003906
4693,1999-03-19 06:00:00,1.52099609375,5.472999572753906
4721,1999-03-26 06:00:00,1.15673828125,5.131690979003906
4746,1999-04-01 12:00:00,0.970703125,4.762062072753906
4790,1999-04-12 12:00:00,1.21044921875,5.126319885253906
4810,1999-04-17 12:00:00,1.17626953125,5.252540588378906
4845,1999-04-26 06:00:00,1.17041015625,5.045265197753906
4857,1999-04-29 06:00:00,0.921630859375,4.698585510253906
4919,1999-05-14 18:00:00,0.9404296875,4.590675354003906
5050,1999-06-16 12:00:00,1.161376953125,4.709327697753906
5075,1999-06-22 18:00:00,0.9560546875,3.961524963378906
5127,1999-07-05 18:00:00,0.9619140625,4.402198791503906
5139,1999-07-08 18:00:00,1.84130859375,5.683448791503906
5179,1999-07-18 18:00:00,1.907958984375,5.823585510253906
5191,1999-07-21 18:00:00,1.4091796875,5.172706604003906
5207,1999-07-25 18:00:00,1.32177734375,5.059425354003906
5231,1999-07-31 18:00:00,1.51806640625,5.253761291503906
5243,1999-08-03 18:00:00,1.33203125,4.961769104003906
5263,1999-08-08 18:00:00,1.513427734375,5.178565979003906
5275,1999-08-11 18:00:00,1.79931640625,5.862648010253906
5335,1999-08-26 18:00:00,0.965087890625,4.302101135253906
5585,1999-10-28 06:00:00,1.05224609375,4.818214416503906
5657,1999-11-15 06:00:00,1.083740234375,5.284034729003906
5721,1999-12-01 06:00:00,1.045654296875,4.778175354003906
5757,1999-12-10 06:00:00,1.354248046875,5.254249572753906
5794,1999-12-19 12:00:00,1.28515625,5.865577697753906
5814,1999-12-24 12:00:00,1.340576171875,5.605812072753906
5834,1999-12-29 12:00:00,0.927734375,4.568214416503906
5861,2000-01-05 06:00:00,1.501953125,5.476905822753906
5908,2000-01-17 00:00:00,1.288818359375,5.645851135253906
5950,2000-01-27 12:00:00,1.147216796875,5.252296447753906
5970,2000-02-01 12:00:00,0.917236328125,4.976417541503906
5982,2000-02-04 12:00:00,0.91064453125,4.734230041503906
6010,2000-02-11 12:00:00,1.3154296875,5.223976135253906
6062,2000-02-24 12:00:00,1.36328125,5.770851135253906
6110,2000-03-07 12:00:00,0.9775390625,4.713233947753906
6150,2000-03-17 12:00:00,1.124267578125,5.234718322753906
6166,2000-03-21 12:00:00,1.16943359375,5.271827697753906
6178,2000-03-24 12:00:00,1.68798828125,6.243507385253906
6206,2000-03-31 12:00:00,1.598876953125,5.723976135253906
6300,2000-04-24 00:00:00,0.984130859375,4.691749572753906
6334,2000-05-02 12:00:00,0.938720703125,4.917335510253906
6346,2000-05-05 12:00:00,0.966064453125,4.987648010253906
6411,2000-05-21 18:00:00,1.11669921875,4.720558166503906
6436,2000-05-28 00:00:00,1.11083984375,4.822120666503906
6471,2000-06-05 18:00:00,1.190673828125,4.739601135253906
6486,2000-06-09 12:00:00,1.18701171875,4.721534729003906
6518,2000-06-17 12:00:00,0.964111328125,5.021339416503906
6531,2000-06-20 18:00:00,0.9228515625,4.256202697753906
6555,2000-06-26 18:00:00,0.922119140625,4.297706604003906
