index,pot_time,pot_maxima,Peak_period
7,1996-01-02 18:00:00,1.6543865203857422,5.838722229003906
22,1996-01-06 12:00:00,1.4023447036743164,5.618995666503906
38,1996-01-10 12:00:00,1.433915138244629,5.550148010253906
62,1996-01-16 12:00:00,1.4921388626098633,5.681007385253906
90,1996-01-23 12:00:00,1.328322410583496,5.256202697753906
110,1996-01-28 12:00:00,1.841840744018555,6.206398010253906
128,1996-02-02 00:00:00,1.5370988845825195,5.638526916503906
153,1996-02-08 06:00:00,1.511429786682129,5.658058166503906
166,1996-02-11 12:00:00,1.135149002075195,4.982276916503906
178,1996-02-14 12:00:00,1.2471630573272705,5.124366760253906
194,1996-02-18 12:00:00,1.5445671081542969,5.693702697753906
218,1996-02-24 12:00:00,1.4423694610595703,5.642921447753906
230,1996-02-27 12:00:00,1.2506494522094729,5.291358947753906
250,1996-03-03 12:00:00,1.3803071975708008,5.551124572753906
266,1996-03-07 12:00:00,1.4707164764404297,5.688819885253906
286,1996-03-12 12:00:00,1.233313798904419,5.135597229003906
314,1996-03-19 12:00:00,1.03570294380188,4.842140197753906
326,1996-03-22 12:00:00,1.584177017211914,5.799659729003906
347,1996-03-27 18:00:00,1.7016534805297852,5.709815979003906
366,1996-04-01 12:00:00,1.1369683742523191,4.918800354003906
390,1996-04-07 12:00:00,1.4464197158813477,5.612159729003906
402,1996-04-10 12:00:00,1.175120830535889,5.142921447753906
414,1996-04-13 12:00:00,1.6785306930541992,5.881690979003906
506,1996-05-06 12:00:00,1.1618719100952148,5.131690979003906
603,1996-05-30 18:00:00,1.082040548324585,4.726417541503906
659,1996-06-13 18:00:00,1.694414138793945,5.649269104003906
683,1996-06-19 18:00:00,1.3474416732788086,4.895851135253906
699,1996-06-23 18:00:00,1.13867449760437,4.359718322753906
737,1996-07-03 06:00:00,1.0302115678787231,4.434425354003906
759,1996-07-08 18:00:00,1.0939610004425049,4.612159729003906
783,1996-07-14 18:00:00,1.7184810638427734,5.632667541503906
799,1996-07-18 18:00:00,1.1001088619232178,4.353858947753906
811,1996-07-21 18:00:00,1.599382400512695,5.177101135253906
