index,pot_time,pot_maxima,Peak_period
2,1996-01-01 12:00:00,0.696044921875,5.761573791503906
22,1996-01-06 12:00:00,0.605712890625,5.618995666503906
43,1996-01-11 18:00:00,0.6087387204170227,5.062355041503906
67,1996-01-17 18:00:00,0.797607421875,5.458839416503906
92,1996-01-24 00:00:00,0.6610106825828552,5.470069885253906
107,1996-01-27 18:00:00,0.9071044921875,6.187355041503906
126,1996-02-01 12:00:00,0.79296875,5.706886291503906
138,1996-02-04 12:00:00,0.529541015625,5.014991760253906
154,1996-02-08 12:00:00,0.65869140625,5.680519104003906
182,1996-02-15 12:00:00,0.5255126953125,5.118995666503906
199,1996-02-19 18:00:00,0.5872802734375,5.226417541503906
222,1996-02-25 12:00:00,0.5601806640625,5.576026916503906
234,1996-02-28 12:00:00,0.5870361328125,4.855812072753906
251,1996-03-03 18:00:00,0.6323544383049011,5.484718322753906
267,1996-03-07 18:00:00,0.7391357421875,5.628761291503906
288,1996-03-13 00:00:00,0.724609375,5.572120666503906
315,1996-03-19 18:00:00,0.5976369976997375,5.101905822753906
327,1996-03-22 18:00:00,0.7027587890625,5.868019104003906
364,1996-04-01 00:00:00,0.5213623046875,4.663917541503906
391,1996-04-07 18:00:00,0.7694091796875,5.674171447753906
403,1996-04-10 18:00:00,0.567138671875,5.051124572753906
419,1996-04-14 18:00:00,0.8447265625,6.032569885253906
435,1996-04-18 18:00:00,0.5445891618728638,4.611183166503906
506,1996-05-06 12:00:00,0.5523681640625,5.131690979003906
518,1996-05-09 12:00:00,0.6068115234375,4.820167541503906
696,1996-06-23 00:00:00,0.613037109375,4.582862854003906
708,1996-06-26 00:00:00,0.51806640625,4.604835510253906
726,1996-06-30 12:00:00,0.5863037109375,6.101417541503906
738,1996-07-03 12:00:00,0.6427001953125,4.827003479003906
750,1996-07-06 12:00:00,0.5546875,6.189064025878906
784,1996-07-15 00:00:00,0.5352783203125,5.321144104003906
797,1996-07-18 06:00:00,0.5576100945472717,4.452980041503906
812,1996-07-22 00:00:00,0.5174560546875,5.516456604003906
858,1996-08-02 12:00:00,0.6192626953125,6.309425354003906
880,1996-08-08 00:00:00,0.6195068359375,5.241065979003906
916,1996-08-17 00:00:00,0.5863986611366272,5.183937072753906
1128,1996-10-09 00:00:00,0.6123046875,5.012550354003906
1151,1996-10-14 18:00:00,0.6044173836708069,5.113136291503906
1168,1996-10-19 00:00:00,0.569091796875,5.053810119628906
1196,1996-10-26 00:00:00,0.5228271484375,4.985206604003906
1227,1996-11-02 18:00:00,0.6173095107078552,4.778663635253906
1263,1996-11-11 18:00:00,0.5496960878372192,4.591651916503906
1280,1996-11-16 00:00:00,0.78662109375,6.585304260253906
1294,1996-11-19 12:00:00,0.781982421875,5.338722229003906
1310,1996-11-23 12:00:00,0.608154296875,5.171241760253906
1323,1996-11-26 18:00:00,0.632568359375,5.236183166503906
1343,1996-12-01 18:00:00,0.500244140625,5.063331604003906
1355,1996-12-04 18:00:00,0.677490234375,5.886085510253906
1374,1996-12-09 12:00:00,0.6319580078125,5.216163635253906
1390,1996-12-13 12:00:00,0.505615234375,4.810890197753906
1418,1996-12-20 12:00:00,0.516357421875,4.772804260253906
1450,1996-12-28 12:00:00,0.7092223167419434,6.168800354003906
1462,1996-12-31 12:00:00,0.6949462890625,5.356788635253906
1480,1997-01-05 00:00:00,0.608154296875,6.026710510253906
1494,1997-01-08 12:00:00,0.7965087890625,6.273780822753906
